description;icao;iata;latitude_deg;longitude_deg
Stella Maris Airport;MYLS;SML;23.582.316.804.299.900;-7.526.862.144.470.000
Mayaguana Airport;MYMM;MYG;223.794.994.354;-7.301.349.639.889.990
Lynden Pindling International Airport;MYNN;NAS;250.389.995.575;-7.746.620.178.219.990
Nassau Paradise Island Airport;MYPI;PID;2.508.300.018.310.540;-7.730.000.305.175.780
Duncan Town Airport;MYRD;DCT;22.181.800.842.285.100;-7.572.949.981.689.450
Rum Cay Airport;MYRP;RCY;2.368.440.055.847.160;-7.483.619.689.941.400
Moyale Airport;MYS;MYS;35.623;390.433
San Salvador Airport;MYSM;ZSA;2.406.329.917.907.710;-7.452.400.207.519.530
Menyamya Airport;MYX;MYX;-721.166.666.667;146.019.361.111
Cape Eleuthera Airport;MYZ2;CEL;247.861;-762.962
Magaruque Airport;MZ-0004;MFW;-219.672.451.019;354.247.283.936
Paradise Island Airport;MZ-0005;NTC;-21.614.999.771.118;35.338.001.251.221
Ibo Airport;MZ-0012;IBO;-12.350.174;40.602.297
Chokwé Airport;MZ-TGS;TGS;-24.520.599.365.234.300;32.965.301.513.671.800
Philip S. W. Goldson International Airport;MZBZ;BZE;17.539.100.646.972.600;-8.830.819.702.148.430
Manatee Airport;MZE;MZE;1.727.846;-890.238
Griswold Airport;N04;MPE;412.711.982.727;-72.549.697.876
Ine Airport;N20;IMI;7.005.553;171.656.959
Bagani Airport;NA-0012;BQI;-181.180.992.126;216.243.991.852
Changbaishan Airport;NBS;NBS;42.066.944;127.602.222
Aitutaki Airport;NCAI;AIT;-18.830.900.192.260.700;-15.976.400.756.835.900
Enua Airport;NCAT;AIU;-1.996.780.014.038.080;-15.811.900.329.589.800
Mangaia Island Airport;NCMG;MGS;-21.895.986.557.006.800;-1.579.066.619.873.040
Manihiki Island Airport;NCMH;MHX;-10.376.700.401.306.100;-1.610.019.989.013.670
Mauke Airport;NCMK;MUK;-2.013.610.076.904.290;-15.734.500.122.070.300
Mitiaro Island Airport;NCMR;MOI;-19.842.500.686.645.500;-1.577.030.029.296.870
Pukapuka Island Airport;NCPK;PZK;-109.145;-1.658.393
Tongareva Airport;NCPY;PYE;-901.436.996.459.961;-15.803.240.966.796.800
Rarotonga International Airport;NCRG;RAR;-212.026.996.613;-159.805.999.756
Namudi Airport;NDI;NDI;-947.375;148.329.416.667
Nadunumu Airport;NDN;NDN;-914.355.555.556;14.768.425
Browns Airport;NE69;EPG;408.675.003.052;-961.100.006.104
Biaugunu Airport;NFBG;AQS;-164.493.799.329;179.740.104.675
Cicia Airport;NFCI;ICI;-177.432.994.843;-179.341.995.239
Castaway Island Seaplane Base;NFCS;CST;-177.358;177.129
Ba Airport;NFFA;BFJ;-175.350.555.556;177.680.916.667
Nadi International Airport;NFFN;NAN;-17.755.399.703.979.400;1.774.429.931.640.620
Malolo Lailai Island Airport;NFFO;PTF;-177.779.006.958;177.197.006.226
Rabi Island Airport;NFFR;RBI;-165.337;1.799.757
Vunisea Airport;NFKD;KDV;-19.058.099.746.699.900;178.156.997.681
Mana Island Airport;NFMA;MNF;-176.730.995.178;177.098.007.202
Moala Airport;NFMO;MFJ;-18.566.699.981.699.900;179.951.004.028
Nausori International Airport;NFNA;SUV;-1.804.330.062.866.210;1.785.590.057.373.040
Levuka Airfield;NFNB;LEV;-177.110.996.246;178.759.002.686
Ngau Airport;NFNG;NGI;-18.115.600.585.899.900;179.339.996.338
Laucala Island Airport;NFNH;LUC;-1.674.810.028.076.170;-17.966.700.744.628.900
Lakeba Island Airport;NFNK;LKB;-181.991.996.765;-178.817.001.343
Labasa Airport;NFNL;LBS;-16.466.699.600.219.700;17.933.999.633.789.000
Matei Airport;NFNM;TVU;-166.905.994.415;-179.876.998.901
Koro Island Airport;NFNO;KXF;-173.458.003.998;17.942.199.707
Rotuma Airport;NFNR;RTA;-12.482.500.076.293.900;1.770.709.991.455.070
Savusavu Airport;NFNS;SVU;-168.027.992.249;179.341.003.418
Bui-Dama Airport;NFNU;BVF;-168.598;1.786.232
Vatukoula Airport;NFNV;VAU;-17.5;1.778.419.952.392.570
Wakaya Island Airport;NFNW;KAY;-17.617.000.579.833.900;17.901.699.829.101.500
Ono-i-Lau Airport;NFOL;ONU;-206.589;-1.787.411
Yasawa Island Airport;NFSW;YAS;-16.758.899.688.720.700;1.775.449.981.689.450
Kaufana Airport;NFTE;EUA;-21.378.299.713.100.000;-174.957.992.554
Fua'amotu International Airport;NFTF;TBU;-21.241.199.493.408.200;-17.514.999.389.648.400
Lifuka Island Airport;NFTL;HPA;-19.777.000.427.246.000;-17.434.100.341.796.800
Mata'aho Airport;NFTO;NFO;-155.707.998.276;-175.632.995.605
Kuini Lavenia Airport;NFTP;NTT;-15.977.297;-173.791.089
Vava'u International Airport;NFTV;VAV;-1.858.530.044.555.660;-17.396.200.561.523.400
Turtle Island Seaplane Base;NFUL;TTL;-16.966;177.368
Vanua Balavu Airport;NFVB;VBV;-17.268.999.099.731.400;-1.789.759.979.248.040
Vatulele Airport;NFVL;VTF;-18.512.500.762.939.400;17.763.900.756.835.900
Gombe Lawanti International Airport;NG-0003;GMO;10.298.333.333.299.900;10.896.388.888.899.900
Port Harcourt City Airport;NG-0004;PHG;4.846.111.111.110.000;7.021.388.888.890.000
Warri Airport;NG-QRW;QRW;55.961.098.670.959;58.177.800.178.528
Abaiang Airport;NGAB;ABF;1.798.609.972.000.120;17.304.100.036.621.000
Beru Airport;NGBR;BEZ;-13.547.199.964.523.300;1.760.070.037.841.790
Funafuti International Airport;NGFU;FUN;-8.525;179.195.999
Kuria Airport;NGKT;KUC;0.2186110019683838;17.344.200.134.277.300
Maiana Airport;NGMA;MNK;10.036.100.149.154.600;173.031.005.859.375
Marakei Airport;NGMK;MZK;2.058.609.962.463.370;17.327.099.609.375
Makin Island Airport;NGMN;MTK;33.744.399.547.576.900;17.299.200.439.453.100
Nikunau Airport;NGNU;NIG;-131.444.001.198;176.410.003.662
Onotoa Airport;NGON;OOT;-17.961.100.339.889.500;1.755.260.009.765.620
Bonriki International Airport;NGTA;TRW;13.816.399.574.279.700;17.314.700.317.382.800
Abemama Atoll Airport;NGTB;AEA;0.49083301424980164;17.382.899.475.097.600
Tabiteuea North Airport;NGTE;TBF;-12.244.700.193.405.100;1.747.760.009.765.620
Tamana Island Airport;NGTM;TMN;-2.485.830.068.588.250;17.597.000.122.070.300
Nonouti Airport;NGTO;NON;-0.6397219896316528;17.442.799.377.441.400
Arorae Island Airport;NGTR;AIS;-261.611.008.644.104;17.680.299.377.441.400
Tabiteuea South Airport;NGTS;TSU;-14.744.399.785.995.400;17.506.399.536.132.800
Butaritari Atoll Airport;NGTU;BBG;308.583;172.811.005
Buariki Airport;NGUK;AAK;0.1852779984474182;17.363.699.340.820.300
Niue International Airport;NIUE;IUE;-19.079.030.990.600.500;-16.992.559.814.453.100
Sinak Airport;NKD;NKD;-3.822;1.378.406
Ninglang Luguhu Airport;NLH;NLH;275.403;1.007.593
Pointe Vele Airport;NLWF;FUT;-143.114.004.135;-178.065.994.263
Hihifo Airport;NLWW;WLS;-132.383.003.235;-176.199.005.127
Industrial Airpark;NM83;HBB;327.668;-103.209
Nangade Airport;NND;NND;-11.073;39.68
Nomad River Airport;NOM;NOM;-6.294;142.234.166.667
Naoro Airport;NOO;NOO;-9.254.455;147.621.352
Mountain Airport;NP-MWP;MWP;28;8.533.300.018.310.540
Nipa Airport;NPG;NPG;-61.454;1.434.531
NASA Crows Landing Airport;NRC;NRC;37.408.000.946.045;-12.110.900.115.967
Newry Airport;NRY;NRY;-160.442;1.292.638
Ofu Village Airport;NSAS;OFU;-141.844;-169.669.998
Asau Airport;NSAU;AAU;-13.505.132;-172.627.888
Faleolo International Airport;NSFA;APW;-13.829.999.923.706.000;-17.200.799.560.546.800
Fagali'i Airport;NSFI;FGI;-13.848.699.569.699.900;-171.740.005.493
Fitiuta Airport;NSFQ;FTI;-142.172;-169.425.003
Maota Airport;NSMA;MXS;-13.742.300.033.569.300;-17.225.799.560.546.800
Pago Pago International Airport;NSTU;PPG;-143.310.003.281;-170.710.006.714
Natadola Airport;NTA;NTA;-180.677;177.315
Faa'a International Airport;NTAA;PPT;-175.536.994.934;-149.606.994.629
Rimatara Airport;NTAM;RMT;-2.263.725;-1.528.059
Rurutu Airport;NTAR;RUR;-22.434.099.197.387.600;-15.136.099.243.164.000
Tubuai Airport;NTAT;TUB;-23.365.400.314.331.000;-1.495.240.020.751.950
Raivavae Airport;NTAV;RVV;-23.885.200.500.499.900;-147.662.002.563
Anaa Airport;NTGA;AAA;-1.735.260.009.765.620;-14.550.999.450.683.500
Fangatau Airport;NTGB;FGU;-15.819.899.559.020.900;-14.088.699.340.820.300
Tikehau Airport;NTGC;TIH;-15.119.600.296.020.500;-1.482.310.028.076.170
Apataki Airport;NTGD;APK;-15.573.599.815.368.600;-1.464.149.932.861.320
Reao Airport;NTGE;REA;-18.465.900.421.142.500;-13.644.000.244.140.600
Fakarava Airport;NTGF;FAV;-16.054.100.036.621.000;-14.565.699.768.066.400
Hikueru Atoll Airport;NTGH;HHZ;-17.544.700.622.558.500;-14.261.399.841.308.500
Manihi Airport;NTGI;XMH;-14.436.800.003.051.700;-14.607.000.732.421.800
Totegegie Airport;NTGJ;GMR;-2.307.990.074.157.710;-13.488.999.938.964.800
Kaukura Airport;NTGK;KKR;-15.663.299.560.546.800;-14.688.499.450.683.500
Makemo Airport;NTGM;MKP;-16.583.900.451.660.100;-1.436.580.047.607.420
Napuka Island Airport;NTGN;NAU;-14.176.799.774.169.900;-14.126.699.829.101.500
Tatakoto Airport;NTGO;TKV;-17.355.300.903.320.300;-13.844.500.732.421.800
Puka Puka Airport;NTGP;PKP;-14.809.499.740.600.500;-13.881.300.354.003.900
Pukarua Airport;NTGQ;PUK;-1.829.560.089.111.320;-13.701.699.829.101.500
Takapoto Airport;NTGT;TKP;-14.709.500.312.805.100;-14.524.600.219.726.500
Arutua Airport;NTGU;AXR;-15.248.299.598.693.800;-14.661.700.439.453.100
Mataiva Airport;NTGV;MVT;-148.681.001.663.208;-1.487.169.952.392.570
Nukutavake Airport;NTGW;NUK;-1.928.499.984.741.210;-13.877.200.317.382.800
Tureia Airport;NTGY;ZTA;-2.078.969.955.444.330;-13.857.000.732.421.800
Ahe Airport;NTHE;AHE;-14.428.099.632.263.100;-1.462.570.037.841.790
Kauehi Airport;NTKA;KHZ;-15.780.799.865.722.600;-14.512.399.291.992.100
Faaite Airport;NTKF;FAC;-1.668.670.082.092.280;-14.532.899.475.097.600
Fakahina Airport;NTKH;FHZ;-15.992.199.897.766.100;-1.401.649.932.861.320
Aratika Nord Airport;NTKK;RKA;-154.853.000.641;-145.470.001.221
Takume Airport;NTKM;TJN;-15.854.700.088.500.000;-142.268.005.371
Naiu Airport;NTKN;NIU;-161.191;-1.463.683
Raroia Airport;NTKO;RRR;-16.045;-142.476.944
Takaroa Airport;NTKR;TKX;-1.445.580.005.645.750;-14.502.499.389.648.400
Katiu Airport;NTKT;KXU;-163.393.993.378;-144.402.999.878
Nukutepipi Airport;NTKU;NKP;-20.7;-143.047
Nuku Hiva Airport;NTMD;NHV;-8.795.599.937.438.960;-14.022.900.390.625
Hiva Oa-Atuona Airport;NTMN;AUQ;-976.879.024.506;-139.011.001.587
Ua Pou Airport;NTMP;UAP;-9.351.670.265.197.750;-1.400.780.029.296.870
Ua Huka Airport;NTMU;UAH;-893.610.954.284.668;-139.552.001.953.125
Bora Bora Airport;NTTB;BOB;-16.444.400.787.353.500;-15.175.100.708.007.800
Tetiaroa Airport;NTTE;TTI;-170.132.999.420.166;-14.958.700.561.523.400
Rangiroa Airport;NTTG;RGI;-14.954.299.926.757.800;-14.766.099.548.339.800
Huahine-Fare Airport;NTTH;HUH;-1.668.720.054.626.460;-15.102.200.317.382.800
Moorea Airport;NTTM;MOZ;-17.489.999.771.118.100;-14.976.199.340.820.300
Hao Airport;NTTO;HOI;-18.074.800.491.333.000;-1.409.459.991.455.070
Maupiti Airport;NTTP;MAU;-1.642.650.032.043.450;-15.224.400.329.589.800
Raiatea Airport;NTTR;RFP;-167.229;-151.466.003
Tupai Airport;NTTU;TPX;-162.423;-1.518.338
Mururoa Atoll Airport;NTTX;UOA;-218.586;-1.388.202
Vahitahi Airport;NTUV;VHZ;-18.780.000.686.645.500;-13.885.299.682.617.100
Castlereagh Lake Seaplane Base;NUF;NUF;6.86;80.584
Nuguria Airstrip;NUG;NUG;-34.075;1.547.383
Yucca Airstrip;NV11;UCC;3.694.580.078.125;-11.603.800.201.416
Mota Lava Airport;NVSA;MTV;-136.660.003.662;167.712.005.615
Sola Airport;NVSC;SLH;-138.516.998.291;167.537.002.563
Torres Airstrip;NVSD;TOH;-133.280.000.687;166.638.000.488
Siwo Airport;NVSE;EAE;-170.902.996.063;168.343.002.319
Craig Cove Airport;NVSF;CCV;-16.264.999.389.648.400;1.679.239.959.716.790
Longana Airport;NVSG;LOD;-153.066.997.528;167.966.995.239
Sara Airport;NVSH;SSR;-154.708.003.998;168.151.992.798
Tavie Airport;NVSI;PBJ;-16.438.999.176;168.257.003.784
Lamap Airport;NVSL;LPM;-1.645.400.047.302.240;167.822.998.046.875
Lamen Bay Airport;NVSM;LNB;-16.584.199.905.400.000;168.158.996.582
Maewo-Naone Airport;NVSN;MWF;-15;168.082.992.554
Lonorore Airport;NVSO;LNE;-15.865.599.632.299.900;16.817.199.707
Norsup Airport;NVSP;NUS;-16.079.700.469.970.700;1.674.010.009.765.620
Gaua Island Airport;NVSQ;ZGU;-14.218.099.594.099.900;167.587.005.615
Redcliffe Airport;NVSR;RCL;-15.472.000.122.099.900;167.835.006.714
Santo Pekoa International Airport;NVSS;SON;-15.505.000.114.399.900;167.220.001.221
Tongoa Airport;NVST;TGH;-168.910.999.298;168.550.994.873
Uléi Airport;NVSU;ULB;-163.297;1.683.011
Valesdir Airport;NVSV;VLS;-16.796.100.616.500.000;168.177.001.953
Walaha Airport;NVSW;WLH;-15.411.999.702.500.000;167.690.994.263
Southwest Bay Airport;NVSX;SWJ;-164.864;1.674.472
North West Santo Airport;NVSZ;OLJ;-14.881.699.562.099.900;166.557.998.657
Aneityum Airport;NVVA;AUY;-202.492.008.209;169.770.996.094
Aniwa Airport;NVVB;AWD;-192.346;1.696.009
Dillon's Bay Airport;NVVD;DLY;-187.693.996.429;16.900.100.708
Futuna Airport;NVVF;FTA;-19.516.399.383.499.900;170.231.994.629
Ipota Airport;NVVI;IPA;-18.856.389;169.283.333
Quion Hill Airport;NVVQ;UIQ;-17.540.000.915.527.300;16.844.200.134.277.300
Bauerfield International Airport;NVVV;VLI;-17.699.300.765.991;16.832.000.732.422
Tanna Airport;NVVW;TAH;-1.945.509.910.583.490;1.692.239.990.234.370
Nowata Airport;NWT;NWT;-9.984.166.666.669.990;149.729.166.667
Tiga Airport;NWWA;TGJ;-21.096.099.853.515.600;1.678.040.008.544.920
Île Art - Waala Airport;NWWC;BMY;-19.720.600.128.173.800;16.366.099.548.339.800
Koné Airport;NWWD;KNQ;-2.105.430.030.822.750;16.483.700.561.523.400
Île des Pins Airport;NWWE;ILP;-22.588.899.612.426.700;16.745.599.365.234.300
Nesson Airport;NWWH;HLU;-21.256.399.154.663.000;16.561.700.439.453.100
Koumac Airport;NWWK;KOC;-20.546.300.888.061.500;16.425.599.670.410.100
Lifou Airport;NWWL;LIF;-20.774.799.346.923.800;16.724.000.549.316.400
Nouméa Magenta Airport;NWWM;GEA;-2.225.830.078.125;16.647.300.720.214.800
Edmond Cané Airport;NWWO;IOU;-22.459.999.084.472.600;1.667.830.047.607.420
Poum Airport;NWWP;PUV;-20.289.199.829.101.500;1.640.989.990.234.370
Mueo Airport;NWWQ;PDC;-213.164.005.279.541;16.499.899.291.992.100
Maré Airport;NWWR;MEE;-21.481.700.897.216.700;16.803.799.438.476.500
Touho Airport;NWWU;TOU;-20.790.000.915.527.300;16.525.900.268.554.600
Ouvéa Airport;NWWV;UVE;-20.640.600.204.467.700;166.572.998.046.875
La Tontouta International Airport;NWWW;NOU;-2.201.460.075.378.410;16.621.299.743.652.300
Auckland International Airport;NZAA;AKL;-37.008.098.602.299.900;174.792.007.446
Taupo Airport;NZAP;TUO;-3.873.970.031.738.280;17.608.399.963.378.900
Ardmore Airport;NZAR;AMZ;-37.029.701.232.910.100;17.497.300.720.214.800
Ashburton Aerodrome;NZAS;ASG;-4.390.330.123.901.360;1.717.969.970.703.120
Christchurch International Airport;NZCH;CHC;-4.348.939.895.629.880;17.253.199.768.066.400
Chatham Islands-Tuuta Airport;NZCI;CHT;-43.810.001.373.291.000;-17.645.700.073.242.100
Coromandel Aerodrome;NZCX;CMV;-3.679.169.845.581.050;17.550.900.268.554.600
Dargaville Aerodrome;NZDA;DGR;-35.939.701.080.322.200;1.738.939.971.923.820
Dunedin Airport;NZDN;DUD;-459.281.005.859.375;170.197.998.046.875
Fox Heliport;NZFH;FGL;-434.631.004.333;170
Franz Josef Aerodrome;NZFJ;WHO;-4.336.309.814.453.120;17.013.400.268.554.600
Great Barrier Aerodrome;NZGB;GBZ;-3.624.140.167.236.320;1.754.720.001.220.700
Greymouth Airport;NZGM;GMN;-42.461.700.439.453.100;17.119.000.244.140.600
Gisborne Airport;NZGS;GIS;-38.663.299.560.546.800;17.797.799.682.617.100
Glentanner Airport;NZGT;GTN;-43.906.700.134.277.300;1.701.280.059.814.450
Hokitika Airfield;NZHK;HKK;-42.713.600.158.691.400;17.098.500.061.035.100
Hamilton International Airport;NZHN;HLZ;-378.666.992.188;175.332.000.732
Waiheke Reeve Airport;NZKE;WIK;-3.680.889.892.578.120;17.508.599.853.515.600
Kaikoura Airport;NZKI;KBZ;-4.242.499.923.706.050;17.360.499.572.753.900
Kerikeri Airport;NZKK;KKE;-3.526.279.830.932.610;17.391.200.256.347.600
Kaikohe Airport;NZKO;KKO;-3.545.109.939.575.190;17.381.700.134.277.300
Kaitaia Airport;NZKT;KAT;-3.506.999.969.482.420;17.328.500.366.210.900
Alexandra Airport;NZLX;ALR;-45.211.700.439.453.100;1.693.730.010.986.320
Matamata Glider Airport;NZMA;MTA;-3.773.440.170.288.080;17.574.200.439.453.100
Mechanics Bay Heliport;NZMB;MHB;-36.846.525.628.100.000;174.787.872.434
Mount Cook Airport;NZMC;MON;-4.376.499.938.964.840;17.013.299.560.546.800
Milford Sound Airport;NZMF;MFN;-44.673.301.696.777.300;16.792.300.415.039.000
Motueka Airport;NZMK;MZP;-4.112.329.864.501.950;17.298.899.841.308.500
Manapouri Airport;NZMO;TEU;-4.553.310.012.817.380;16.764.999.389.648.400
Hood Airport;NZMS;MRO;-4.097.330.093.383.780;17.563.400.268.554.600
New Plymouth Airport;NZNP;NPL;-3.900.859.832.763.670;1.741.790.008.544.920
Hawke's Bay Airport;NZNR;NPE;-39.465.801;176.869.995
Nelson Airport;NZNS;NSN;-41.298.301.696.777.300;1.732.209.930.419.920
Invercargill Airport;NZNV;IVC;-4.641.239.929.199.210;16.831.300.354.003.900
RNZAF Base Ohakea;NZOH;OHA;-4.020.600.128.173.820;17.538.800.048.828.100
Oamaru Airport;NZOU;OAM;-44.970.001.220.703.100;17.108.200.073.242.100
Palmerston North Airport;NZPM;PMR;-4.032.059.860.229.490;17.561.700.439.453.100
Picton Aerodrome;NZPN;PCN;-41.346.099.853.516;17.395.599.365.234
Paraparaumu Airport;NZPP;PPQ;-40.904.701.232.910.100;17.498.899.841.308.500
Queenstown International Airport;NZQN;ZQN;-450.210.990.906;168.738.998.413
Raglan Airfield;NZRA;RAG;-378.046.989.440.918;17.486.000.061.035.100
Ryans Creek Aerodrome;NZRC;SZS;-46.899.700.164.799.900;168.100.997.925
Rotorua Regional Airport;NZRO;ROT;-3.810.919.952.392.570;17.631.700.134.277.300
Tauranga Airport;NZTG;TRG;-3.767.190.170.288.080;1.761.959.991.455.070
Thames Aerodrome;NZTH;TMZ;-37.156.700.134.277.300;1.755.500.030.517.570
Takaka Airport;NZTK;KTF;-4.081.330.108.642.570;17.277.499.389.648.400
Tokoroa Airfield;NZTO;TKZ;-38.236.698.150.634.700;17.589.199.829.101.500
Taharoa Aerodrome;NZTS;THH;-3.818.109.893.798.820;17.470.799.255.371.000
Timaru Airport;NZTU;TIU;-44.302.799.224.853.500;17.122.500.610.351.500
Pukaki Airport;NZUK;TWZ;-442.350.006.104;170.117.996.216
Woodbourne Airport;NZWB;BHE;-415.182.991.027.832;1.738.699.951.171.870
Wanaka Airport;NZWF;WKA;-44.722.198.486.328;16.924.600.219.727
Whakatane Airport;NZWK;WHK;-3.792.060.089.111.320;17.691.400.146.484.300
Wellington International Airport;NZWN;WLG;-413.272.018.433;174.804.992.676
Wairoa Airport;NZWO;WIR;-39.006.900.787.353.500;17.740.699.768.066.400
Whangarei Airport;NZWR;WRE;-357.682.991.027.832;17.436.500.549.316.400
Westport Airport;NZWS;WSZ;-4.173.809.814.453.120;17.158.099.365.234.300
Whitianga Airport;NZWT;WTZ;-3.683.169.937.133.780;1.756.790.008.544.920
Wanganui Airport;NZWU;WAG;-3.996.220.016.479.490;17.502.499.389.648.400
Kneeland Airport;O19;NLN;40.719.299.316.406;-12.392.800.140.381
Carmel Valley;O62;O62;364.814.843.441;-12.172.911.644
Benton Field;O85;BZF;405.749.015.808;-122.407.997.131
Shank Air Base;OAA;OAA;339.225;6.907.722.222.219.990
Bamiyan Airport;OABN;BIN;3.481.700.134.277.340;6.781.700.134.277.340
Bost Airport;OABT;BST;3.155.970.001.220.700;6.436.499.786.376.950
Chakcharan Airport;OACC;CCN;3.453.300.094.604.490;6.526.699.829.101.560
Sardeh Band Airport;OADS;SBF;333.207.015.991;686.364.974.976
Darwaz Airport;OADZ;DAZ;3.846.110.153.198.240;7.088.249.969.482.420
Farah Airport;OAFR;FAH;32.367.000.579.833.900;6.218.299.865.722.650
Fayzabad Airport;OAFZ;FBD;37.121.101;70.518.097
Ghazni Airport;OAGN;GZI;335.312.004.089;68.412.902.832
Khwahan Airport;OAHN;KWH;37.882.999.420.166.000;7.021.700.286.865.230
Herat Airport;OAHR;HEA;34.209.999.084.472.600;6.222.829.818.725.580
Bagram Air Base;OAIX;OAI;349.460.983.276;6.926.499.938.959.990
Jalalabad Airport;OAJL;JAA;3.439.979.934.692.380;7.049.859.619.140.620
Gardez Airport;OAKA;GRG;33.631.500.244.099.900;69.239.402.771
Kabul International Airport;OAKB;KBL;3.456.589.889.526.360;692.123.031.616.211
Kandahar Airport;OAKN;KDH;31.505.800.247.192.300;658.478.012.084.961
Khost Airport;OAKS;KHT;333.334.007.263;69.952.003.479
Maimana Airport;OAMN;MMZ;3.593.080.139.160.150;6.476.090.240.478.510
Mazar I Sharif Airport;OAMS;MZR;3.670.690.155.029.290;6.720.970.153.808.590
Urgun Airport;OAOG;URN;329.318.008.423;691.563.034.058
Qala-I-Naw Airport;OAQN;LQN;3.498.500.061.035.150;63.117.801.666.259.700
Sharana Airstrip;OASA;OAS;3.312.575;68.838.517
Shindand Airport;OASD;OAH;333.913.002.014;622.610.015.869
Sheghnan Airport;OASN;SGA;3.756.700.134.277.340;71.5
Tarin Kowt Airport;OATN;TII;32.604.198.455.799.900;658.657.989.502
Talolqan Airport;OATQ;TQN;367.706.985.474;695.319.976.807
Konduz Airport;OAUZ;UND;3.666.510.009.765.620;6.891.079.711.914.060
Camp Bastion Airport;OAZI;OAZ;31.863.800.048.799.900;642.246.017.456
Zaranj Airport;OAZJ;ZAJ;30.972.222;61.865.833
Bahrain International Airport;OBBI;BAH;2.627.079.963.684.080;5.063.359.832.763.670
Sky Harbor Airport;OBK;OBK;421.438.888.889;-8.785.555.555.559.990
Corisco International Airport;OCS;OCS;0.9125;93.304
Abha Regional Airport;OEAB;AHB;18.240.400.314.299.900;4.265.660.095.210.000
Al Ahsa Airport;OEAH;HOF;2.528.529.930.114.740;49.485.198.974.609.300
Al Baha Airport;OEBA;ABT;202.961.006.165;416.343.002.319
